Neighborhood,Room_Type,Accommodates,Bedrooms,Number_of_Reviews,Wifi,Cable_TV,Washer,Kitchen,Price(US_Dollars)
Pankow,Private Room,2,1,0,Yes,Yes,Yes,Yes,39
Friedrichshain-Kreuzberg,Private Room,2,1,28,Yes,No,Yes,Yes,67
Treptow - Köpenick,Shared Room,2,1,0,Yes,No,Yes,Yes,18
Friedrichshain-Kreuzberg,Private Room,2,1,10,Yes,Yes,Yes,Yes,35
Pankow,Private Room,3,1,48,Yes,Yes,Yes,Yes,35
Neukölln,Private Room,2,1,24,Yes,Yes,Yes,Yes,29
Friedrichshain-Kreuzberg,Private Room,2,1,5,Yes,No,Yes,Yes,52
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,1,Yes,Yes,Yes,Yes,90
Tempelhof - Schöneberg,Entire Home/Apt,2,1,0,Yes,No,No,Yes,35
Tempelhof - Schöneberg,Entire Home/Apt,4,1,5,Yes,No,Yes,Yes,100
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,23,Yes,No,Yes,Yes,114
Pankow,Entire Home/Apt,2,1,15,No,No,Yes,Yes,39
Tempelhof - Schöneberg,Entire Home/Apt,4,2,19,Yes,No,Yes,Yes,45
Mitte,Entire Home/Apt,1,1,21,Yes,No,No,Yes,40
Pankow,Private Room,1,1,8,Yes,Yes,Yes,Yes,28
Mitte,Entire Home/Apt,8,2,41,Yes,No,No,Yes,151
Mitte,Entire Home/Apt,4,1,32,Yes,No,No,Yes,89
Friedrichshain-Kreuzberg,Private Room,2,1,1,Yes,No,Yes,Yes,29
Mitte,Entire Home/Apt,3,1,32,Yes,No,Yes,Yes,125
Neukölln,Entire Home/Apt,2,1,25,Yes,Yes,Yes,Yes,69
Tempelhof - Schöneberg,Entire Home/Apt,2,0,4,Yes,No,Yes,Yes,37
Friedrichshain-Kreuzberg,Private Room,1,1,22,Yes,Yes,Yes,Yes,37
Neukölln,Private Room,2,1,0,Yes,Yes,Yes,Yes,30
Charlottenburg-Wilm.,Private Room,1,1,2,Yes,No,Yes,Yes,60
Mitte,Entire Home/Apt,4,2,4,Yes,Yes,Yes,Yes,35
Mitte,Private Room,2,1,5,Yes,Yes,Yes,Yes,23
Lichtenberg,Private Room,2,1,44,Yes,No,No,Yes,28
Treptow - Köpenick,Private Room,1,1,3,Yes,Yes,Yes,Yes,25
Pankow,Entire Home/Apt,3,1,22,Yes,No,Yes,Yes,48
Pankow,Entire Home/Apt,5,1,5,Yes,No,Yes,Yes,120
Pankow,Entire Home/Apt,2,1,16,Yes,Yes,Yes,Yes,60
Charlottenburg-Wilm.,Entire Home/Apt,2,1,7,Yes,No,Yes,Yes,65
Friedrichshain-Kreuzberg,Private Room,1,1,168,Yes,Yes,No,No,27
Neukölln,Private Room,2,1,25,Yes,Yes,Yes,Yes,35
Lichtenberg,Private Room,2,1,1,Yes,No,Yes,Yes,20
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,22,Yes,Yes,Yes,Yes,39
Mitte,Private Room,1,1,147,Yes,Yes,Yes,Yes,21
Mitte,Private Room,1,1,6,Yes,Yes,Yes,Yes,40
Neukölln,Private Room,2,1,0,Yes,No,No,No,40
Neukölln,Private Room,2,1,20,Yes,Yes,Yes,Yes,35
Mitte,Entire Home/Apt,3,1,2,Yes,Yes,Yes,Yes,35
Neukölln,Private Room,1,1,2,Yes,No,Yes,Yes,17
Tempelhof - Schöneberg,Private Room,2,1,9,Yes,Yes,Yes,Yes,50
Mitte,Entire Home/Apt,4,1,6,Yes,No,Yes,Yes,25
Pankow,Entire Home/Apt,4,2,12,Yes,Yes,Yes,Yes,30
Tempelhof - Schöneberg,Private Room,2,1,1,Yes,Yes,No,Yes,30
Charlottenburg-Wilm.,Entire Home/Apt,5,3,17,Yes,Yes,Yes,Yes,150
Steglitz - Zehlendorf,Entire Home/Apt,4,2,3,Yes,No,Yes,Yes,39
Charlottenburg-Wilm.,Entire Home/Apt,2,0,0,Yes,No,No,No,28
Mitte,Private Room,2,1,28,Yes,Yes,Yes,Yes,34
Neukölln,Private Room,2,1,15,Yes,Yes,Yes,Yes,59
Tempelhof - Schöneberg,Entire Home/Apt,2,1,84,Yes,Yes,Yes,No,85
Marzahn - Hellersdorf,Private Room,2,1,29,Yes,Yes,Yes,Yes,27
Friedrichshain-Kreuzberg,Private Room,2,1,4,Yes,Yes,Yes,Yes,32
Pankow,Private Room,1,1,6,Yes,Yes,Yes,Yes,77
Neukölln,Private Room,2,1,7,Yes,Yes,Yes,Yes,25
Neukölln,Private Room,2,1,2,Yes,Yes,Yes,Yes,40
Mitte,Entire Home/Apt,16,5,41,Yes,Yes,Yes,Yes,179
Mitte,Entire Home/Apt,3,1,0,Yes,No,Yes,Yes,30
Tempelhof - Schöneberg,Entire Home/Apt,4,1,7,Yes,Yes,Yes,Yes,65
Friedrichshain-Kreuzberg,Entire Home/Apt,4,1,62,Yes,No,No,Yes,98
Friedrichshain-Kreuzberg,Private Room,2,1,11,Yes,Yes,No,Yes,20
Treptow - Köpenick,Entire Home/Apt,6,2,11,Yes,No,Yes,Yes,72
Friedrichshain-Kreuzberg,Private Room,2,1,18,Yes,Yes,Yes,Yes,67
Mitte,Entire Home/Apt,2,0,4,Yes,No,No,Yes,33
Mitte,Entire Home/Apt,2,1,2,Yes,Yes,Yes,Yes,45
Pankow,Private Room,2,1,10,Yes,Yes,Yes,Yes,100
Friedrichshain-Kreuzberg,Private Room,2,1,0,Yes,No,Yes,Yes,39
Tempelhof - Schöneberg,Private Room,2,1,91,Yes,Yes,Yes,Yes,35
Friedrichshain-Kreuzberg,Private Room,2,1,53,Yes,No,Yes,Yes,47
Friedrichshain-Kreuzberg,Entire Home/Apt,4,1,2,Yes,No,No,Yes,100
Neukölln,Private Room,2,1,3,Yes,Yes,No,Yes,27
Mitte,Entire Home/Apt,4,2,1,Yes,No,Yes,Yes,120
Friedrichshain-Kreuzberg,Entire Home/Apt,5,1,2,Yes,Yes,Yes,Yes,55
Tempelhof - Schöneberg,Private Room,4,2,7,Yes,Yes,Yes,Yes,60
Mitte,Private Room,2,1,14,Yes,Yes,Yes,Yes,58
Friedrichshain-Kreuzberg,Private Room,2,1,0,No,Yes,No,Yes,25
Mitte,Entire Home/Apt,5,2,5,Yes,Yes,Yes,Yes,150
Neukölln,Private Room,2,1,25,Yes,Yes,Yes,Yes,40
Neukölln,Private Room,2,1,4,Yes,Yes,Yes,Yes,22
Mitte,Private Room,2,1,2,Yes,Yes,Yes,Yes,20
Friedrichshain-Kreuzberg,Private Room,1,1,6,Yes,No,Yes,Yes,19
Pankow,Entire Home/Apt,2,1,3,Yes,No,Yes,Yes,65
Steglitz - Zehlendorf,Private Room,2,1,4,Yes,No,No,Yes,50
Mitte,Private Room,2,1,0,Yes,Yes,Yes,Yes,25
Tempelhof - Schöneberg,Private Room,2,1,12,Yes,Yes,Yes,Yes,72
Tempelhof - Schöneberg,Private Room,2,1,12,Yes,Yes,Yes,Yes,52
Mitte,Entire Home/Apt,4,0,139,Yes,No,Yes,Yes,130
Neukölln,Entire Home/Apt,4,2,8,Yes,No,Yes,Yes,129
Mitte,Entire Home/Apt,3,1,23,Yes,No,No,Yes,99
Charlottenburg-Wilm.,Entire Home/Apt,4,2,8,Yes,No,Yes,Yes,93
Lichtenberg,Private Room,2,1,5,Yes,Yes,Yes,Yes,27
Neukölln,Entire Home/Apt,2,1,3,Yes,No,Yes,Yes,55
Neukölln,Entire Home/Apt,3,1,12,Yes,Yes,Yes,Yes,45
Charlottenburg-Wilm.,Entire Home/Apt,2,0,38,Yes,No,Yes,Yes,91
Friedrichshain-Kreuzberg,Private Room,2,1,3,Yes,Yes,Yes,Yes,35
Treptow - Köpenick,Private Room,1,1,6,Yes,Yes,Yes,Yes,20
Mitte,Private Room,2,1,15,Yes,Yes,No,Yes,55
Charlottenburg-Wilm.,Private Room,1,1,25,Yes,Yes,Yes,Yes,30
Pankow,Private Room,2,1,18,Yes,No,Yes,Yes,65
Tempelhof - Schöneberg,Entire Home/Apt,4,2,7,Yes,No,Yes,Yes,80
Mitte,Entire Home/Apt,2,0,2,Yes,Yes,Yes,Yes,50
Pankow,Entire Home/Apt,4,1,11,Yes,No,Yes,Yes,110
Mitte,Entire Home/Apt,2,1,9,No,No,Yes,Yes,30
Mitte,Private Room,2,1,6,Yes,No,Yes,Yes,49
Neukölln,Private Room,2,1,1,Yes,Yes,Yes,Yes,200
Charlottenburg-Wilm.,Private Room,2,1,23,Yes,Yes,Yes,Yes,33
Friedrichshain-Kreuzberg,Private Room,3,1,85,Yes,Yes,No,Yes,35
Friedrichshain-Kreuzberg,Private Room,2,0,5,Yes,No,Yes,Yes,28
Lichtenberg,Entire Home/Apt,2,1,26,Yes,No,Yes,Yes,500
Lichtenberg,Private Room,3,2,12,Yes,Yes,Yes,Yes,50
Mitte,Private Room,2,2,28,Yes,Yes,Yes,No,25
Charlottenburg-Wilm.,Entire Home/Apt,6,3,0,No,Yes,No,Yes,75
Charlottenburg-Wilm.,Private Room,6,1,67,Yes,Yes,No,Yes,30
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,1,Yes,Yes,Yes,Yes,69
Friedrichshain-Kreuzberg,Private Room,1,1,13,Yes,Yes,No,Yes,23
Friedrichshain-Kreuzberg,Private Room,2,1,3,Yes,Yes,Yes,Yes,25
Friedrichshain-Kreuzberg,Private Room,2,1,74,Yes,No,Yes,Yes,40
Spandau,Entire Home/Apt,6,2,0,Yes,No,Yes,Yes,36
Friedrichshain-Kreuzberg,Private Room,2,1,1,Yes,No,Yes,Yes,26
Neukölln,Private Room,6,3,40,Yes,Yes,Yes,No,160
Tempelhof - Schöneberg,Private Room,2,1,1,Yes,Yes,Yes,Yes,23
Mitte,Private Room,2,1,43,Yes,No,Yes,Yes,45
Friedrichshain-Kreuzberg,Private Room,2,1,0,Yes,No,Yes,Yes,30
Pankow,Private Room,2,1,0,Yes,Yes,Yes,Yes,30
Charlottenburg-Wilm.,Private Room,2,1,0,Yes,Yes,Yes,Yes,30
Mitte,Entire Home/Apt,3,1,4,Yes,Yes,Yes,Yes,39
Friedrichshain-Kreuzberg,Private Room,3,1,11,Yes,No,Yes,Yes,75
Friedrichshain-Kreuzberg,Private Room,2,1,3,Yes,Yes,Yes,Yes,42
Neukölln,Entire Home/Apt,2,1,33,Yes,No,Yes,Yes,79
Mitte,Entire Home/Apt,6,3,38,Yes,No,Yes,Yes,279
Mitte,Private Room,2,1,2,Yes,Yes,Yes,Yes,27
Friedrichshain-Kreuzberg,Private Room,3,1,2,Yes,No,Yes,Yes,59
Mitte,Entire Home/Apt,4,1,68,Yes,No,Yes,Yes,119
Friedrichshain-Kreuzberg,Private Room,2,1,0,Yes,Yes,Yes,Yes,35
Friedrichshain-Kreuzberg,Private Room,2,1,9,No,Yes,No,Yes,42
Pankow,Entire Home/Apt,2,1,98,Yes,Yes,Yes,Yes,54
Lichtenberg,Entire Home/Apt,5,2,8,Yes,Yes,Yes,Yes,57
Neukölln,Private Room,1,1,10,Yes,Yes,No,Yes,27
Pankow,Entire Home/Apt,4,2,0,No,Yes,Yes,Yes,80
Reinickendorf,Entire Home/Apt,2,1,0,Yes,No,No,Yes,26
Mitte,Entire Home/Apt,3,1,21,Yes,No,No,Yes,99
Neukölln,Entire Home/Apt,2,0,16,Yes,No,Yes,Yes,45
Treptow - Köpenick,Private Room,2,1,1,Yes,Yes,Yes,Yes,50
Neukölln,Entire Home/Apt,10,3,110,Yes,No,Yes,Yes,129
Pankow,Private Room,3,1,8,Yes,Yes,Yes,Yes,17
Pankow,Entire Home/Apt,3,1,15,No,No,Yes,Yes,50
Friedrichshain-Kreuzberg,Private Room,2,1,41,Yes,Yes,Yes,Yes,40
Reinickendorf,Private Room,3,1,68,Yes,No,Yes,Yes,21
Mitte,Entire Home/Apt,3,1,29,Yes,Yes,Yes,Yes,130
Charlottenburg-Wilm.,Private Room,2,1,115,Yes,Yes,No,Yes,30
Friedrichshain-Kreuzberg,Entire Home/Apt,5,2,15,Yes,No,Yes,Yes,100
Mitte,Entire Home/Apt,4,1,28,Yes,No,No,Yes,89
Friedrichshain-Kreuzberg,Private Room,2,1,3,Yes,Yes,No,Yes,40
Mitte,Entire Home/Apt,3,1,13,Yes,Yes,Yes,Yes,40
Pankow,Private Room,2,1,14,Yes,Yes,Yes,Yes,35
Mitte,Private Room,1,0,0,No,Yes,Yes,Yes,10
Mitte,Entire Home/Apt,4,1,27,Yes,No,No,Yes,89
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,0,Yes,No,Yes,Yes,40
Lichtenberg,Private Room,1,1,6,Yes,No,Yes,Yes,20
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,1,Yes,No,Yes,Yes,55
Mitte,Entire Home/Apt,8,4,17,Yes,No,No,Yes,196
Treptow - Köpenick,Private Room,1,1,9,Yes,Yes,Yes,Yes,35
Steglitz - Zehlendorf,Private Room,2,1,9,Yes,No,Yes,Yes,50
Friedrichshain-Kreuzberg,Entire Home/Apt,4,2,1,Yes,Yes,Yes,Yes,100
Mitte,Entire Home/Apt,4,1,45,Yes,No,No,Yes,100
Treptow - Köpenick,Private Room,2,1,67,Yes,No,Yes,Yes,20
Charlottenburg-Wilm.,Entire Home/Apt,4,1,57,Yes,No,Yes,Yes,49
Pankow,Private Room,1,1,0,Yes,Yes,Yes,Yes,15
Charlottenburg-Wilm.,Entire Home/Apt,6,2,19,Yes,No,No,Yes,145
Mitte,Entire Home/Apt,2,0,51,Yes,Yes,No,Yes,29
Mitte,Entire Home/Apt,2,1,0,Yes,No,No,No,26
Pankow,Private Room,2,1,0,Yes,Yes,Yes,Yes,90
Mitte,Private Room,2,1,3,Yes,Yes,Yes,Yes,35
Treptow - Köpenick,Private Room,1,1,7,No,Yes,Yes,Yes,25
Mitte,Private Room,1,1,0,Yes,Yes,Yes,Yes,26
Tempelhof - Schöneberg,Entire Home/Apt,4,2,27,Yes,No,Yes,Yes,169
Friedrichshain-Kreuzberg,Entire Home/Apt,4,2,0,No,No,No,No,499
Charlottenburg-Wilm.,Entire Home/Apt,6,2,10,Yes,No,No,Yes,145
Mitte,Entire Home/Apt,2,0,5,Yes,Yes,No,Yes,70
Neukölln,Private Room,1,1,1,Yes,Yes,Yes,Yes,14
Tempelhof - Schöneberg,Private Room,2,1,2,Yes,Yes,Yes,Yes,20
Lichtenberg,Private Room,3,1,11,Yes,Yes,Yes,Yes,50
Friedrichshain-Kreuzberg,Private Room,3,1,33,Yes,No,Yes,Yes,49
Friedrichshain-Kreuzberg,Private Room,3,1,4,Yes,Yes,Yes,Yes,40
Marzahn - Hellersdorf,Entire Home/Apt,6,2,9,Yes,Yes,Yes,Yes,120
Charlottenburg-Wilm.,Entire Home/Apt,2,1,14,Yes,No,Yes,Yes,60
Charlottenburg-Wilm.,Private Room,2,0,39,Yes,No,Yes,Yes,34
Mitte,Entire Home/Apt,4,2,48,Yes,No,No,Yes,109
Friedrichshain-Kreuzberg,Entire Home/Apt,3,0,29,Yes,Yes,Yes,Yes,60
Neukölln,Private Room,1,1,21,Yes,Yes,Yes,Yes,17
Tempelhof - Schöneberg,Private Room,2,1,68,Yes,Yes,No,No,33
Neukölln,Private Room,1,1,0,Yes,Yes,Yes,Yes,21
Pankow,Private Room,4,1,8,Yes,Yes,Yes,Yes,50
Pankow,Private Room,2,1,4,Yes,Yes,Yes,Yes,35
Friedrichshain-Kreuzberg,Private Room,2,1,19,Yes,Yes,Yes,Yes,40
Pankow,Entire Home/Apt,5,3,26,Yes,No,Yes,Yes,9
Tempelhof - Schöneberg,Private Room,2,1,0,Yes,Yes,Yes,Yes,60
Friedrichshain-Kreuzberg,Private Room,2,1,3,Yes,No,Yes,Yes,40
Neukölln,Private Room,2,1,41,Yes,No,Yes,Yes,35
Friedrichshain-Kreuzberg,Private Room,4,1,6,Yes,No,Yes,Yes,55
Reinickendorf,Private Room,2,1,76,Yes,Yes,Yes,Yes,20
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,2,Yes,Yes,Yes,Yes,70
Mitte,Entire Home/Apt,4,1,22,Yes,Yes,Yes,Yes,50
Mitte,Private Room,4,2,15,Yes,No,Yes,Yes,70
Friedrichshain-Kreuzberg,Private Room,1,1,3,Yes,Yes,Yes,Yes,20
Friedrichshain-Kreuzberg,Private Room,4,2,1,Yes,Yes,Yes,Yes,50
Mitte,Private Room,2,2,0,Yes,No,Yes,Yes,15
Tempelhof - Schöneberg,Entire Home/Apt,2,1,1,Yes,No,Yes,Yes,79
Pankow,Entire Home/Apt,3,2,8,Yes,No,Yes,Yes,99
Steglitz - Zehlendorf,Entire Home/Apt,3,2,89,Yes,No,Yes,Yes,80
Charlottenburg-Wilm.,Entire Home/Apt,6,2,4,Yes,No,No,Yes,145
Charlottenburg-Wilm.,Entire Home/Apt,6,2,1,Yes,No,No,Yes,145
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,2,Yes,No,Yes,Yes,50
Tempelhof - Schöneberg,Entire Home/Apt,4,1,6,Yes,No,Yes,Yes,37
Charlottenburg-Wilm.,Entire Home/Apt,11,5,21,Yes,No,No,Yes,240
Charlottenburg-Wilm.,Private Room,2,1,1,Yes,Yes,Yes,Yes,20
Tempelhof - Schöneberg,Entire Home/Apt,3,1,0,Yes,No,No,Yes,80
Mitte,Entire Home/Apt,4,2,31,Yes,Yes,Yes,Yes,170
Neukölln,Entire Home/Apt,2,1,11,Yes,No,Yes,Yes,40
Friedrichshain-Kreuzberg,Entire Home/Apt,4,2,5,Yes,Yes,Yes,Yes,125
Tempelhof - Schöneberg,Private Room,1,1,0,Yes,Yes,Yes,Yes,36
Tempelhof - Schöneberg,Entire Home/Apt,4,1,3,Yes,Yes,Yes,Yes,78
Mitte,Private Room,1,1,2,Yes,Yes,Yes,Yes,14
Steglitz - Zehlendorf,Private Room,1,1,28,Yes,Yes,Yes,No,32
Friedrichshain-Kreuzberg,Private Room,2,1,15,Yes,Yes,Yes,Yes,30
Lichtenberg,Private Room,2,1,64,Yes,Yes,No,Yes,32
Friedrichshain-Kreuzberg,Private Room,2,1,3,Yes,Yes,Yes,Yes,70
Mitte,Entire Home/Apt,2,1,14,Yes,No,Yes,Yes,98
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,77,Yes,Yes,No,No,51
Tempelhof - Schöneberg,Private Room,4,1,41,Yes,No,Yes,Yes,37
Steglitz - Zehlendorf,Entire Home/Apt,2,1,3,Yes,No,No,Yes,25
Pankow,Private Room,1,1,4,No,Yes,Yes,Yes,40
Pankow,Entire Home/Apt,3,1,14,Yes,Yes,Yes,Yes,70
Neukölln,Entire Home/Apt,4,2,3,Yes,Yes,Yes,Yes,56
Pankow,Private Room,2,1,4,Yes,No,Yes,Yes,25
Mitte,Private Room,2,1,61,Yes,Yes,No,No,40
Mitte,Private Room,2,1,0,No,Yes,No,No,20
Mitte,Private Room,2,1,1,Yes,Yes,Yes,Yes,20
Neukölln,Private Room,1,1,0,Yes,Yes,No,Yes,52
Neukölln,Private Room,2,1,1,Yes,Yes,Yes,Yes,55
Lichtenberg,Private Room,2,1,8,Yes,No,Yes,Yes,20
Neukölln,Private Room,2,1,0,Yes,No,Yes,Yes,39
Steglitz - Zehlendorf,Private Room,2,1,72,Yes,Yes,No,No,25
Mitte,Private Room,2,1,21,Yes,Yes,Yes,Yes,25
Friedrichshain-Kreuzberg,Entire Home/Apt,4,1,4,Yes,No,Yes,Yes,85
Neukölln,Private Room,2,1,25,Yes,Yes,Yes,Yes,27
Friedrichshain-Kreuzberg,Entire Home/Apt,3,1,17,Yes,Yes,Yes,Yes,50
Pankow,Entire Home/Apt,4,2,78,Yes,Yes,Yes,Yes,72
Tempelhof - Schöneberg,Private Room,2,1,0,No,Yes,No,No,35
Neukölln,Private Room,1,1,11,Yes,Yes,Yes,Yes,30
Charlottenburg-Wilm.,Entire Home/Apt,6,2,7,No,Yes,Yes,Yes,100
Mitte,Entire Home/Apt,3,1,14,Yes,No,Yes,Yes,50
Friedrichshain-Kreuzberg,Private Room,1,1,45,Yes,Yes,Yes,Yes,17
Friedrichshain-Kreuzberg,Private Room,1,1,0,Yes,Yes,No,Yes,35
Mitte,Private Room,1,1,2,Yes,No,Yes,Yes,18
Pankow,Private Room,2,1,11,Yes,No,Yes,Yes,44
Tempelhof - Schöneberg,Private Room,1,1,9,Yes,Yes,Yes,Yes,25
Neukölln,Entire Home/Apt,8,3,93,Yes,Yes,Yes,Yes,157
Lichtenberg,Private Room,1,1,0,Yes,Yes,Yes,Yes,15
Tempelhof - Schöneberg,Entire Home/Apt,3,1,12,Yes,No,Yes,Yes,90
Mitte,Entire Home/Apt,2,0,2,Yes,Yes,Yes,Yes,90
Friedrichshain-Kreuzberg,Private Room,2,1,22,Yes,Yes,Yes,Yes,48
Charlottenburg-Wilm.,Entire Home/Apt,4,2,13,Yes,No,Yes,Yes,189
Mitte,Entire Home/Apt,4,2,6,Yes,Yes,Yes,Yes,76
Friedrichshain-Kreuzberg,Private Room,2,1,4,Yes,Yes,Yes,Yes,28
Friedrichshain-Kreuzberg,Entire Home/Apt,4,1,1,Yes,Yes,Yes,Yes,85
Pankow,Private Room,3,2,4,Yes,Yes,Yes,Yes,68
Friedrichshain-Kreuzberg,Entire Home/Apt,4,1,59,Yes,No,No,Yes,98
Friedrichshain-Kreuzberg,Entire Home/Apt,4,1,36,Yes,No,No,Yes,89
Neukölln,Private Room,1,2,7,Yes,Yes,Yes,Yes,30
Pankow,Private Room,2,1,20,Yes,Yes,No,No,44
Friedrichshain-Kreuzberg,Private Room,2,1,11,Yes,Yes,Yes,Yes,20
Friedrichshain-Kreuzberg,Private Room,3,2,14,Yes,No,Yes,Yes,59
Pankow,Entire Home/Apt,4,2,1,Yes,Yes,Yes,Yes,160
Friedrichshain-Kreuzberg,Private Room,2,1,1,Yes,Yes,Yes,Yes,22
Pankow,Private Room,2,1,5,Yes,Yes,Yes,Yes,30
Mitte,Private Room,1,1,61,Yes,No,Yes,Yes,39
Steglitz - Zehlendorf,Private Room,2,1,38,Yes,Yes,Yes,Yes,50
Friedrichshain-Kreuzberg,Private Room,1,1,5,Yes,Yes,Yes,Yes,39
Mitte,Entire Home/Apt,6,2,50,Yes,No,No,Yes,90
Charlottenburg-Wilm.,Private Room,2,1,0,Yes,Yes,No,Yes,25
Tempelhof - Schöneberg,Entire Home/Apt,2,1,18,Yes,Yes,Yes,Yes,45
Neukölln,Private Room,1,1,3,Yes,Yes,Yes,Yes,18
Neukölln,Private Room,2,1,1,Yes,Yes,Yes,Yes,25
Pankow,Private Room,2,1,15,Yes,Yes,Yes,Yes,20
Friedrichshain-Kreuzberg,Private Room,3,1,102,Yes,No,Yes,Yes,45
Neukölln,Private Room,1,0,0,Yes,Yes,Yes,Yes,39
Neukölln,Entire Home/Apt,3,1,16,No,No,Yes,Yes,85
Neukölln,Private Room,2,1,22,Yes,Yes,Yes,Yes,60
Marzahn - Hellersdorf,Private Room,1,1,40,Yes,No,Yes,Yes,18
Friedrichshain-Kreuzberg,Entire Home/Apt,6,1,78,Yes,No,No,Yes,98
Friedrichshain-Kreuzberg,Private Room,2,1,0,Yes,Yes,Yes,Yes,30
Neukölln,Private Room,2,1,10,Yes,Yes,Yes,Yes,45
Neukölln,Private Room,2,1,11,Yes,No,Yes,Yes,35
Reinickendorf,Private Room,4,2,77,Yes,No,Yes,Yes,21
Mitte,Private Room,2,1,42,Yes,Yes,No,Yes,60
Lichtenberg,Entire Home/Apt,2,0,59,Yes,No,Yes,Yes,55
Friedrichshain-Kreuzberg,Private Room,1,1,2,Yes,Yes,Yes,Yes,39
Mitte,Entire Home/Apt,2,1,0,No,No,Yes,Yes,70
Neukölln,Entire Home/Apt,2,1,2,Yes,No,Yes,Yes,40
Friedrichshain-Kreuzberg,Private Room,1,1,10,Yes,Yes,No,Yes,32
Steglitz - Zehlendorf,Private Room,2,1,0,Yes,No,Yes,Yes,17
Pankow,Entire Home/Apt,12,3,86,Yes,No,Yes,Yes,300
Friedrichshain-Kreuzberg,Private Room,2,1,3,Yes,No,Yes,Yes,50
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,3,Yes,No,Yes,Yes,57
Neukölln,Private Room,2,1,2,Yes,Yes,Yes,Yes,21
Tempelhof - Schöneberg,Entire Home/Apt,2,1,26,Yes,No,Yes,Yes,51
Lichtenberg,Private Room,1,1,0,No,Yes,No,No,219
Neukölln,Private Room,2,1,14,Yes,Yes,Yes,Yes,70
Neukölln,Entire Home/Apt,5,2,2,Yes,Yes,Yes,Yes,40
Neukölln,Private Room,2,1,4,Yes,Yes,Yes,Yes,58
Pankow,Entire Home/Apt,5,2,10,Yes,No,Yes,Yes,75
Friedrichshain-Kreuzberg,Private Room,2,1,0,Yes,No,Yes,Yes,55
Reinickendorf,Entire Home/Apt,2,2,0,Yes,Yes,Yes,Yes,30
Charlottenburg-Wilm.,Entire Home/Apt,2,1,4,Yes,No,Yes,Yes,120
Friedrichshain-Kreuzberg,Private Room,2,1,32,Yes,No,Yes,Yes,40
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,6,Yes,Yes,Yes,Yes,67
Charlottenburg-Wilm.,Entire Home/Apt,3,1,12,Yes,No,Yes,Yes,93
Spandau,Entire Home/Apt,4,2,2,Yes,No,Yes,Yes,30
Friedrichshain-Kreuzberg,Private Room,2,1,35,Yes,No,Yes,Yes,68
Pankow,Entire Home/Apt,2,1,2,Yes,No,No,Yes,42
Mitte,Entire Home/Apt,5,3,4,Yes,No,Yes,Yes,100
Neukölln,Entire Home/Apt,5,3,17,Yes,Yes,Yes,Yes,59
Friedrichshain-Kreuzberg,Private Room,2,1,6,Yes,Yes,Yes,Yes,30
Neukölln,Entire Home/Apt,2,1,24,Yes,No,Yes,Yes,55
Marzahn - Hellersdorf,Entire Home/Apt,7,2,9,Yes,No,Yes,Yes,200
Pankow,Private Room,2,1,0,No,Yes,Yes,Yes,25
Reinickendorf,Private Room,2,1,32,Yes,No,Yes,Yes,26
Mitte,Private Room,2,1,0,Yes,Yes,Yes,Yes,19
Friedrichshain-Kreuzberg,Private Room,2,1,25,Yes,No,Yes,Yes,29
Tempelhof - Schöneberg,Private Room,3,1,4,Yes,No,Yes,Yes,50
Mitte,Shared Room,4,1,5,Yes,No,Yes,Yes,29
Neukölln,Private Room,1,1,2,Yes,Yes,No,Yes,30
Neukölln,Private Room,2,1,20,Yes,Yes,No,No,60
Friedrichshain-Kreuzberg,Private Room,1,1,1,Yes,Yes,Yes,Yes,12
Pankow,Private Room,2,1,18,Yes,No,Yes,Yes,22
Neukölln,Private Room,2,1,15,Yes,Yes,No,Yes,27
Neukölln,Entire Home/Apt,2,1,1,Yes,No,Yes,Yes,30
Friedrichshain-Kreuzberg,Entire Home/Apt,2,0,0,Yes,Yes,Yes,Yes,80
Tempelhof - Schöneberg,Private Room,1,1,47,Yes,Yes,Yes,Yes,32
Neukölln,Private Room,2,1,2,Yes,Yes,Yes,Yes,23
Charlottenburg-Wilm.,Private Room,2,1,31,Yes,No,Yes,Yes,50
Friedrichshain-Kreuzberg,Private Room,2,1,5,Yes,Yes,Yes,Yes,25
Pankow,Private Room,2,1,0,Yes,No,Yes,Yes,33
Friedrichshain-Kreuzberg,Entire Home/Apt,6,3,8,Yes,No,Yes,Yes,130
Friedrichshain-Kreuzberg,Private Room,1,1,0,Yes,Yes,Yes,Yes,30
Pankow,Private Room,1,1,1,Yes,No,Yes,Yes,28
Neukölln,Entire Home/Apt,6,1,39,Yes,Yes,No,Yes,80
Neukölln,Entire Home/Apt,3,1,37,Yes,Yes,Yes,Yes,65
Mitte,Private Room,2,1,9,Yes,Yes,Yes,Yes,22
