Neighborhood,Room_Type,Accommodates,Bedrooms,Number_of_Reviews,Wifi,Cable_TV,Washer,Kitchen,Price(US_Dollars)
Mitte,Entire Home/Apt,6,2,7,Yes,No,Yes,Yes,95
Spandau,Private Room,2,1,26,Yes,No,Yes,Yes,40
Friedrichshain-Kreuzberg,Entire Home/Apt,4,2,30,Yes,No,Yes,Yes,55
Mitte,Entire Home/Apt,2,1,51,Yes,Yes,Yes,Yes,79
Friedrichshain-Kreuzberg,Entire Home/Apt,4,1,2,Yes,No,Yes,Yes,56
Tempelhof - Schöneberg,Private Room,1,1,111,Yes,Yes,Yes,No,32
Friedrichshain-Kreuzberg,Private Room,4,1,40,Yes,No,Yes,Yes,32
Friedrichshain-Kreuzberg,Private Room,5,1,131,Yes,No,Yes,Yes,32
Friedrichshain-Kreuzberg,Private Room,2,1,30,Yes,No,Yes,Yes,28
Neukölln,Private Room,2,1,63,Yes,Yes,Yes,Yes,49
Charlottenburg-Wilm.,Entire Home/Apt,2,1,6,Yes,No,Yes,Yes,70
Friedrichshain-Kreuzberg,Entire Home/Apt,4,1,95,Yes,Yes,Yes,Yes,80
Friedrichshain-Kreuzberg,Entire Home/Apt,3,2,99,Yes,Yes,Yes,Yes,75
Friedrichshain-Kreuzberg,Entire Home/Apt,4,0,112,Yes,No,No,Yes,55
Friedrichshain-Kreuzberg,Entire Home/Apt,5,2,79,Yes,No,No,Yes,65
Friedrichshain-Kreuzberg,Entire Home/Apt,6,2,142,Yes,No,Yes,Yes,96
Tempelhof - Schöneberg,Entire Home/Apt,6,2,35,Yes,No,No,Yes,51
Friedrichshain-Kreuzberg,Private Room,1,1,74,Yes,Yes,Yes,Yes,33
Steglitz - Zehlendorf,Entire Home/Apt,2,2,69,Yes,No,Yes,Yes,59
Pankow,Entire Home/Apt,3,0,113,Yes,No,No,Yes,99
Pankow,Private Room,2,1,201,Yes,Yes,Yes,Yes,49
Mitte,Entire Home/Apt,2,1,66,Yes,No,Yes,Yes,148
Neukölln,Entire Home/Apt,4,1,37,Yes,No,No,Yes,55
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,9,No,No,Yes,Yes,69
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,0,Yes,Yes,Yes,Yes,60
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,72,Yes,No,Yes,Yes,55
Mitte,Private Room,1,1,129,Yes,Yes,Yes,Yes,60
Tempelhof - Schöneberg,Private Room,1,1,0,Yes,No,Yes,Yes,29
Neukölln,Private Room,1,1,3,Yes,No,Yes,Yes,45
Pankow,Entire Home/Apt,2,1,426,Yes,No,No,Yes,60
Reinickendorf,Entire Home/Apt,6,2,1,No,No,Yes,Yes,75
Friedrichshain-Kreuzberg,Private Room,4,1,4,Yes,No,Yes,Yes,60
Friedrichshain-Kreuzberg,Private Room,1,1,1,Yes,No,Yes,No,19
Friedrichshain-Kreuzberg,Private Room,2,1,4,Yes,No,Yes,No,29
Friedrichshain-Kreuzberg,Private Room,2,1,1,Yes,No,Yes,No,29
Friedrichshain-Kreuzberg,Shared Room,3,1,10,Yes,No,Yes,No,9
Friedrichshain-Kreuzberg,Shared Room,4,1,5,Yes,No,Yes,No,9
Friedrichshain-Kreuzberg,Shared Room,6,1,58,Yes,No,Yes,No,9
Friedrichshain-Kreuzberg,Shared Room,6,1,25,Yes,No,Yes,No,9
Friedrichshain-Kreuzberg,Shared Room,8,1,73,Yes,No,Yes,No,9
Tempelhof - Schöneberg,Entire Home/Apt,2,1,11,Yes,No,Yes,Yes,55
Treptow - Köpenick,Entire Home/Apt,4,1,5,Yes,No,Yes,Yes,85
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,30,Yes,Yes,No,Yes,48
Neukölln,Entire Home/Apt,5,1,40,Yes,Yes,Yes,Yes,55
Mitte,Entire Home/Apt,3,1,89,Yes,Yes,Yes,Yes,129
Pankow,Entire Home/Apt,4,2,42,Yes,No,Yes,Yes,69
Treptow - Köpenick,Entire Home/Apt,4,2,16,Yes,No,Yes,Yes,46
Friedrichshain-Kreuzberg,Entire Home/Apt,2,1,56,Yes,No,Yes,Yes,55
Neukölln,Entire Home/Apt,4,1,14,Yes,No,No,Yes,53
Friedrichshain-Kreuzberg,Entire Home/Apt,4,1,2,Yes,No,Yes,Yes,65
Pankow,Entire Home/Apt,3,1,166,Yes,Yes,Yes,Yes,89
Mitte,Entire Home/Apt,2,1,58,Yes,Yes,Yes,Yes,70
Friedrichshain-Kreuzberg,Private Room,2,1,202,Yes,Yes,Yes,No,43
Charlottenburg-Wilm.,Entire Home/Apt,8,2,64,Yes,No,Yes,Yes,125
Mitte,Entire Home/Apt,4,1,6,Yes,No,No,Yes,61
